genome	protein_id	ko	evalue	score
GCF_025426155.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_025426155.1	WP_003232473.1	K02557	4.1e-72	241.5
GCF_025426155.1	WP_015483230.1	K03407	2.8e-225	748.0
GCF_025426155.1	WP_014476812.1	K03413	5.3e-48	162.1
GCF_025426155.1	WP_003235058.1	K03833	2e-79	265.9
GCF_025426155.1	WP_015382807.1	K04103	3.4e-71	238.2
GCF_025426155.1	WP_003230226.1	K06390	4.4e-132	438.4
GCF_025426155.1	WP_015483551.1	K07636	2.5e-126	420.4
GCF_025426155.1	WP_003246107.1	K07657	2.9e-84	280.9
GCF_025426155.1	WP_015483375.1	K16531	5.2e-21	72.7
GCF_025460705.1	WP_128993411.1	K00366	3.6e-84	281.3
GCF_025460705.1	WP_262120075.1	K00372	9.7e-280	928.6
GCF_025460705.1	WP_015382905.1	K01077	2.9e-113	377.8
GCF_025460705.1	WP_014475691.1	K01113	1.7e-165	550.5
GCF_025460705.1	WP_029317985.1	K01505	9.6e-15	52.1
GCF_025460705.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_025460705.1	WP_021480711.1	K02406	1.4e-126	421.6
GCF_025460705.1	WP_015714528.1	K02556	1.5e-94	315.2
GCF_025460705.1	WP_003232473.1	K02557	4.4e-72	241.5
GCF_025460705.1	WP_262119808.1	K03407	3.6e-225	747.7
GCF_025460705.1	WP_014476812.1	K03413	5.6e-48	162.1
GCF_025460705.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_025460705.1	WP_128992423.1	K04103	2.9e-71	238.5
GCF_025460705.1	WP_262119336.1	K06390	6.3e-132	438.0
GCF_025460705.1	WP_262119192.1	K07636	1.2e-125	418.3
GCF_025460705.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_025460705.1	WP_003230620.1	K16531	1.2e-20	71.6
GCF_025837035.1	WP_264099254.1	K00366	1.7e-82	275.8
GCF_025837035.1	WP_264099452.1	K00372	5.7e-281	932.6
GCF_025837035.1	WP_029725845.1	K01077	1.3e-113	378.9
GCF_025837035.1	WP_264099440.1	K01113	4.2e-165	549.2
GCF_025837035.1	WP_120028319.1	K01505	1e-14	52.0
GCF_025837035.1	WP_015252037.1	K01915	3.5e-107	357.7
GCF_025837035.1	WP_029725988.1	K02406	3.5e-133	443.3
GCF_025837035.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_025837035.1	WP_003232473.1	K02557	4.3e-72	241.5
GCF_025837035.1	WP_264099823.1	K03407	3.4e-225	747.8
GCF_025837035.1	WP_014476812.1	K03413	5.5e-48	162.1
GCF_025837035.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_025837035.1	WP_003246569.1	K04103	3.8e-71	238.1
GCF_025837035.1	WP_015714242.1	K06390	6.5e-132	437.9
GCF_025837035.1	WP_264099128.1	K07636	5.4e-125	416.1
GCF_025837035.1	WP_003246107.1	K07657	3e-84	280.9
GCF_025837035.1	WP_032726037.1	K16531	1.2e-20	71.6
GCF_026787105.1	WP_257802817.1	K00366	1.8e-86	288.8
GCF_026787105.1	WP_073205901.1	K00372	5.2e-275	912.8
GCF_026787105.1	WP_024425291.1	K01077	5.2e-106	353.6
GCF_026787105.1	WP_122631040.1	K01505	4e-15	53.2
GCF_026787105.1	WP_122631366.1	K01915	1e-108	362.6
GCF_026787105.1	WP_034623420.1	K02406	1.3e-127	424.9
GCF_026787105.1	WP_024424680.1	K02556	1e-92	309.1
GCF_026787105.1	WP_024424679.1	K02557	1.2e-69	233.4
GCF_026787105.1	WP_268416240.1	K03407	9.8e-225	746.1
GCF_026787105.1	WP_268416247.1	K03413	3.7e-47	159.2
GCF_026787105.1	WP_024425595.1	K03833	2.6e-79	265.5
GCF_026787105.1	WP_025092480.1	K04103	1.5e-71	239.3
GCF_026787105.1	WP_024428002.1	K06390	2.9e-131	435.7
GCF_026787105.1	WP_024424787.1	K07636	4.5e-124	413.0
GCF_026787105.1	WP_024426141.1	K07657	3.9e-84	280.5
GCF_026787105.1	WP_025092425.1	K16531	4.4e-30	102.6
GCF_026787785.1	WP_144461968.1	K00366	2.2e-87	291.9
GCF_026787785.1	WP_268466881.1	K00372	4.7e-86	287.6
GCF_026787785.1	WP_058014429.1	K01077	1.3e-105	352.4
GCF_026787785.1	WP_058014817.1	K01505	2.8e-15	53.8
GCF_026787785.1	WP_058013910.1	K01915	9e-109	362.9
GCF_026787785.1	WP_058014260.1	K02406	5.9e-132	439.3
GCF_026787785.1	WP_003212085.1	K02556	4.6e-93	310.3
GCF_026787785.1	WP_058014151.1	K02557	1e-68	230.4
GCF_026787785.1	WP_058013981.1	K03407	9.9e-225	746.2
GCF_026787785.1	WP_007499584.1	K03413	1.8e-47	160.3
GCF_026787785.1	WP_058015804.1	K03833	2.7e-79	265.5
GCF_026787785.1	WP_044139976.1	K04103	6.8e-72	240.5
GCF_026787785.1	WP_268466068.1	K06390	2e-133	442.8
GCF_026787785.1	WP_058015094.1	K07636	5.4e-124	412.8
GCF_026787785.1	WP_058015093.1	K07657	3.5e-84	280.7
GCF_026787785.1	WP_058014569.1	K16531	1.8e-22	77.5
GCF_026793695.1	WP_268289804.1	K00366	4.3e-84	281.0
GCF_026793695.1	WP_268312828.1	K00372	6.5e-279	925.8
GCF_026793695.1	WP_080428964.1	K01077	5.1e-115	383.5
GCF_026793695.1	WP_003241303.1	K01113	1.2e-164	547.6
GCF_026793695.1	WP_060398902.1	K01505	2.6e-14	50.6
GCF_026793695.1	WP_003238339.1	K01915	4.5e-107	357.3
GCF_026793695.1	WP_268280983.1	K02406	1.6e-129	431.2
GCF_026793695.1	WP_060400050.1	K02556	1.6e-95	318.4
GCF_026793695.1	WP_268272378.1	K02557	9e-71	237.2
GCF_026793695.1	WP_225515030.1	K03407	1.1e-225	749.4
GCF_026793695.1	WP_003220882.1	K03413	1.1e-47	161.1
GCF_026793695.1	WP_003242008.1	K03833	2.8e-79	265.5
GCF_026793695.1	WP_268293728.1	K04103	4.6e-71	237.8
GCF_026793695.1	WP_003236905.1	K06390	3.9e-133	441.9
GCF_026793695.1	WP_268312974.1	K07636	5.9e-124	412.7
GCF_026793695.1	WP_060398923.1	K07657	1.5e-83	278.7
GCF_026793695.1	WP_060398897.1	K16531	5.8e-20	69.2
GCF_026793855.1	WP_003326931.1	K00366	1.2e-83	279.6
GCF_026793855.1	WP_268529346.1	K00372	1.6e-273	907.9
GCF_026793855.1	WP_088116603.1	K01077	1.7e-113	378.5
GCF_026793855.1	WP_268529406.1	K01113	1.9e-164	547.0
GCF_026793855.1	WP_268478038.1	K01505	5.1e-14	49.6
GCF_026793855.1	WP_094232068.1	K01915	2.4e-108	361.5
GCF_026793855.1	WP_268370730.1	K02406	9e-128	425.5
GCF_026793855.1	WP_003327311.1	K02556	3.7e-93	310.6
GCF_026793855.1	WP_003327312.1	K02557	1.1e-72	243.4
GCF_026793855.1	WP_003328922.1	K03407	1.3e-221	736.0
GCF_026793855.1	WP_003328933.1	K03413	2.5e-47	159.9
GCF_026793855.1	WP_003328291.1	K03833	2.7e-79	265.5
GCF_026793855.1	WP_061669601.1	K04103	3.8e-70	234.8
GCF_026793855.1	WP_003325460.1	K06390	7e-133	441.1
GCF_026793855.1	WP_003325115.1	K07636	9.4e-123	408.7
GCF_026793855.1	WP_004429698.1	K07657	1.1e-83	279.1
GCF_026793855.1	WP_061670097.1	K16531	2.2e-18	64.0
GCF_027497645.1	WP_264819142.1	K00366	8e-84	280.1
GCF_027497645.1	WP_269775591.1	K00372	8e-183	607.8
GCF_027497645.1	WP_269775463.1	K01077	6.5e-111	369.9
GCF_027497645.1	WP_269775373.1	K01113	1.5e-167	557.2
GCF_027497645.1	WP_016939094.1	K01505	2.7e-14	50.5
GCF_027497645.1	WP_016936014.1	K01915	3.3e-109	364.3
GCF_027497645.1	WP_198698154.1	K02406	4.3e-140	466.1
GCF_027497645.1	WP_269774634.1	K02556	1e-97	325.6
GCF_027497645.1	WP_269775196.1	K02557	3.4e-72	241.8
GCF_027497645.1	WP_269775276.1	K03407	2.2e-48	163.0
GCF_027497645.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_027497645.1	WP_003156451.1	K03833	3e-79	265.3
GCF_027497645.1	WP_269774500.1	K03834	3.9e-12	43.6
GCF_027497645.1	WP_269774538.1	K04103	1.2e-71	239.6
GCF_027497645.1	WP_198697869.1	K06390	3e-130	432.4
GCF_027497645.1	WP_269774665.1	K07636	3.3e-126	420.0
GCF_027497645.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_027497645.1	WP_095532179.1	K16531	1.2e-17	61.5
GCF_027706145.1	WP_270799638.1	K00366	4.7e-86	287.4
GCF_027706145.1	WP_270803016.1	K00372	9.1e-269	892.1
GCF_027706145.1	WP_270802240.1	K01077	9.4e-116	385.8
GCF_027706145.1	WP_270803200.1	K01113	1.3e-162	540.8
GCF_027706145.1	WP_270803346.1	K01505	4.6e-19	66.1
GCF_027706145.1	WP_172295371.1	K01915	9.2e-110	366.0
GCF_027706145.1	WP_270800771.1	K02406	1.6e-130	434.4
GCF_027706145.1	WP_270802724.1	K02556	1.5e-91	305.2
GCF_027706145.1	WP_270799530.1	K02557	2.4e-71	239.0
GCF_027706145.1	WP_270799164.1	K03407	2.3e-223	741.6
GCF_027706145.1	WP_270799181.1	K03413	1.4e-46	157.3
GCF_027706145.1	WP_172292325.1	K03833	2e-80	269.1
GCF_027706145.1	WP_270802493.1	K04103	2e-66	222.4
GCF_027706145.1	WP_270798242.1	K06390	1.8e-130	433.0
GCF_027706145.1	WP_270802629.1	K07636	2.2e-121	404.0
GCF_027706145.1	WP_270801610.1	K07657	1.8e-83	278.3
GCF_027706145.1	WP_270798912.1	K16531	3.5e-22	76.4
GCF_029691445.1	WP_043867419.1	K00366	1.1e-83	279.6
GCF_029691445.1	WP_046559502.1	K00372	3.8e-183	608.8
GCF_029691445.1	WP_003155322.1	K01077	1.2e-110	368.9
GCF_029691445.1	WP_014304274.1	K01113	1.5e-167	557.1
GCF_029691445.1	WP_014305305.1	K01505	1e-15	55.1
GCF_029691445.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_029691445.1	WP_015387631.1	K02406	8.1e-139	461.8
GCF_029691445.1	WP_003152386.1	K02556	5.6e-97	323.1
GCF_029691445.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_029691445.1	WP_015388231.1	K03407	1.2e-225	749.2
GCF_029691445.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_029691445.1	WP_003156451.1	K03833	2.9e-79	265.3
GCF_029691445.1	WP_024084930.1	K03834	2e-20	70.9
GCF_029691445.1	WP_024084930.1	K03837	2e-170	564.9
GCF_029691445.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_029691445.1	WP_003153125.1	K06390	1e-130	433.9
GCF_029691445.1	WP_014305565.1	K07636	1.2e-125	418.2
GCF_029691445.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_029691445.1	WP_088005508.1	K16531	3.4e-17	60.0
GCF_029916985.1	WP_029725918.1	K00366	8.1e-84	280.1
GCF_029916985.1	WP_029727068.1	K00372	1.3e-279	928.1
GCF_029916985.1	WP_029725845.1	K01077	1.3e-113	378.9
GCF_029916985.1	WP_014475691.1	K01113	1.6e-165	550.5
GCF_029916985.1	WP_029317985.1	K01505	9.5e-15	52.1
GCF_029916985.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_029916985.1	WP_029725988.1	K02406	3.6e-133	443.3
GCF_029916985.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_029916985.1	WP_003232473.1	K02557	4.4e-72	241.5
GCF_029916985.1	WP_014476817.1	K03407	2.5e-225	748.2
GCF_029916985.1	WP_014476812.1	K03413	5.6e-48	162.1
GCF_029916985.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_029916985.1	WP_003246569.1	K04103	3.8e-71	238.1
GCF_029916985.1	WP_015251728.1	K06390	6.3e-132	438.0
GCF_029916985.1	WP_113712819.1	K07636	1.4e-125	418.1
GCF_029916985.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_029916985.1	WP_021481536.1	K16531	1.1e-20	71.6
GCF_030273385.1	WP_041850542.1	K00366	2.7e-84	281.7
GCF_030273385.1	WP_015715220.1	K00372	3.3e-280	930.1
GCF_030273385.1	WP_015382905.1	K01077	2.9e-113	377.8
GCF_030273385.1	WP_032722881.1	K01113	1.5e-165	550.7
GCF_030273385.1	WP_041849969.1	K01505	9.2e-15	52.1
GCF_030273385.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_030273385.1	WP_003228021.1	K02406	7.6e-130	432.4
GCF_030273385.1	WP_015714528.1	K02556	1.5e-94	315.2
GCF_030273385.1	WP_003232473.1	K02557	4.4e-72	241.5
GCF_030273385.1	WP_014476817.1	K03407	2.6e-225	748.2
GCF_030273385.1	WP_014476812.1	K03413	5.6e-48	162.1
GCF_030273385.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_030273385.1	WP_003246569.1	K04103	3.9e-71	238.1
GCF_030273385.1	WP_015714242.1	K06390	6.7e-132	437.9
GCF_030273385.1	WP_015714502.1	K07636	3.2e-125	416.9
GCF_030273385.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_030273385.1	WP_003230620.1	K16531	1.2e-20	71.6
GCF_030292035.1	WP_197172899.1	K00366	1.4e-86	289.1
GCF_030292035.1	WP_185854474.1	K00372	1.6e-275	914.4
GCF_030292035.1	WP_286099009.1	K01077	5.2e-106	353.6
GCF_030292035.1	WP_041117824.1	K01505	4.9e-15	52.8
GCF_030292035.1	WP_024427046.1	K01915	1.8e-108	361.8
GCF_030292035.1	WP_251180678.1	K02406	6.6e-132	439.0
GCF_030292035.1	WP_024424680.1	K02556	1e-92	309.1
GCF_030292035.1	WP_024424679.1	K02557	1.1e-69	233.4
GCF_030292035.1	WP_024424158.1	K03407	4e-225	747.4
GCF_030292035.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_030292035.1	WP_024425595.1	K03833	2.5e-79	265.5
GCF_030292035.1	WP_025092480.1	K04103	1.5e-71	239.3
GCF_030292035.1	WP_024428002.1	K06390	2.8e-131	435.7
GCF_030292035.1	WP_212051498.1	K07636	1.3e-123	411.4
GCF_030292035.1	WP_024426141.1	K07657	3.8e-84	280.5
GCF_030292035.1	WP_056767976.1	K16531	3.4e-30	102.9
GCF_030517005.1	WP_032876519.1	K00366	1.8e-83	278.9
GCF_030517005.1	WP_032872794.1	K00372	1e-276	918.4
GCF_030517005.1	WP_032874278.1	K01077	1.3e-111	372.1
GCF_030517005.1	WP_032872722.1	K01113	1.6e-167	557.0
GCF_030517005.1	WP_032873256.1	K01505	8e-16	55.5
GCF_030517005.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_030517005.1	WP_032876173.1	K02406	1.8e-138	460.6
GCF_030517005.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_030517005.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_030517005.1	WP_032874918.1	K03407	9.6e-226	749.5
GCF_030517005.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_030517005.1	WP_007410400.1	K03833	2e-79	265.8
GCF_030517005.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_030517005.1	WP_032874043.1	K06390	1.7e-130	433.2
GCF_030517005.1	WP_032873702.1	K07636	6.5e-126	419.0
GCF_030517005.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_030517005.1	WP_087920803.1	K16531	7.6e-18	62.1
GCF_030517045.1	WP_032876519.1	K00366	1.8e-83	278.9
GCF_030517045.1	WP_032872794.1	K00372	1e-276	918.4
GCF_030517045.1	WP_032874278.1	K01077	1.3e-111	372.1
GCF_030517045.1	WP_032872722.1	K01113	1.6e-167	557.0
GCF_030517045.1	WP_032873256.1	K01505	8e-16	55.5
GCF_030517045.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_030517045.1	WP_032876173.1	K02406	1.8e-138	460.6
GCF_030517045.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_030517045.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_030517045.1	WP_032874918.1	K03407	9.6e-226	749.5
GCF_030517045.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_030517045.1	WP_007410400.1	K03833	2e-79	265.8
GCF_030517045.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_030517045.1	WP_032874043.1	K06390	1.7e-130	433.2
GCF_030517045.1	WP_032873702.1	K07636	6.5e-126	419.0
GCF_030517045.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_030517045.1	WP_087920803.1	K16531	7.6e-18	62.1
GCF_030643845.1	WP_021480597.1	K00366	2.8e-84	281.7
GCF_030643845.1	WP_019712387.1	K00372	1.2e-279	928.3
GCF_030643845.1	WP_080287651.1	K01077	3.3e-113	377.6
GCF_030643845.1	WP_032722881.1	K01113	1.5e-165	550.7
GCF_030643845.1	WP_032722038.1	K01505	2.7e-14	50.6
GCF_030643845.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_030643845.1	WP_003228021.1	K02406	7.8e-130	432.4
GCF_030643845.1	WP_014477672.1	K02556	1.9e-94	315.0
GCF_030643845.1	WP_003232473.1	K02557	4.5e-72	241.5
GCF_030643845.1	WP_014476817.1	K03407	2.6e-225	748.2
GCF_030643845.1	WP_003245707.1	K03413	1.7e-39	134.3
GCF_030643845.1	WP_003235058.1	K03833	2.2e-79	265.9
GCF_030643845.1	WP_032722919.1	K04103	1.1e-70	236.6
GCF_030643845.1	WP_032722103.1	K06390	4e-132	438.7
GCF_030643845.1	WP_032722335.1	K07636	1.8e-125	417.7
GCF_030643845.1	WP_003246107.1	K07657	3.2e-84	280.9
GCF_030643845.1	WP_003230620.1	K16531	1.2e-20	71.6
GCF_030717805.1	WP_169056629.1	K00366	3e-87	291.4
GCF_030717805.1	WP_169055866.1	K00372	2.6e-86	288.3
GCF_030717805.1	WP_306011919.1	K01077	4.8e-106	353.7
GCF_030717805.1	WP_306010807.1	K01505	1.8e-15	54.3
GCF_030717805.1	WP_058013910.1	K01915	8.4e-109	362.9
GCF_030717805.1	WP_306012016.1	K02406	1.4e-131	437.9
GCF_030717805.1	WP_003212085.1	K02556	4.3e-93	310.3
GCF_030717805.1	WP_058014151.1	K02557	9.7e-69	230.4
GCF_030717805.1	WP_306012137.1	K03407	1.1e-224	746.0
GCF_030717805.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_030717805.1	WP_169057676.1	K03833	3.6e-79	265.0
GCF_030717805.1	WP_306010971.1	K04103	1.7e-71	239.1
GCF_030717805.1	WP_306010862.1	K06390	2.1e-133	442.7
GCF_030717805.1	WP_306011035.1	K07636	4.9e-124	412.8
GCF_030717805.1	WP_306011036.1	K07657	4e-84	280.4
GCF_030717805.1	WP_306010951.1	K16531	2.4e-19	67.1
GCF_033568485.1	WP_024122835.1	K00366	1e-84	283.1
GCF_033568485.1	WP_254518029.1	K00372	5.6e-279	926.0
GCF_033568485.1	WP_095714196.1	K01077	2e-116	388.2
GCF_033568485.1	WP_254518012.1	K01113	1e-163	544.6
GCF_033568485.1	WP_101864444.1	K01505	3e-15	53.7
GCF_033568485.1	WP_024121509.1	K01915	5.7e-107	357.0
GCF_033568485.1	WP_010332058.1	K02406	1.4e-128	428.2
GCF_033568485.1	WP_024122512.1	K02556	1.7e-95	318.4
GCF_033568485.1	WP_024121173.1	K02557	1.2e-71	240.0
GCF_033568485.1	WP_106020713.1	K03407	3.8e-226	750.9
GCF_033568485.1	WP_010334256.1	K03413	1.5e-47	160.6
GCF_033568485.1	WP_010332768.1	K03833	6.8e-79	264.2
GCF_033568485.1	WP_254518050.1	K04103	6.4e-71	237.4
GCF_033568485.1	WP_044154635.1	K06390	3.9e-134	445.2
GCF_033568485.1	WP_106020250.1	K07636	2.4e-125	417.2
GCF_033568485.1	WP_010334777.1	K07657	4.4e-83	277.1
GCF_033568485.1	WP_059336621.1	K16531	2.2e-18	64.1
GCF_034427495.1	WP_060399482.1	K00366	2.9e-84	281.6
GCF_034427495.1	WP_060397888.1	K00372	5e-279	926.2
GCF_034427495.1	WP_080428964.1	K01077	5.1e-115	383.5
GCF_034427495.1	WP_060397859.1	K01113	1.5e-164	547.3
GCF_034427495.1	WP_060398902.1	K01505	2.6e-14	50.6
GCF_034427495.1	WP_003238339.1	K01915	4.6e-107	357.3
GCF_034427495.1	WP_060399591.1	K02406	4e-133	443.2
GCF_034427495.1	WP_060400050.1	K02556	1.7e-95	318.4
GCF_034427495.1	WP_060398498.1	K02557	4.7e-71	238.1
GCF_034427495.1	WP_060398633.1	K03407	9.5e-226	749.6
GCF_034427495.1	WP_003220882.1	K03413	1.1e-47	161.1
GCF_034427495.1	WP_003242008.1	K03833	2.8e-79	265.5
GCF_034427495.1	WP_060397952.1	K04103	6.9e-71	237.2
GCF_034427495.1	WP_060399006.1	K06390	4.7e-133	441.7
GCF_034427495.1	WP_060399261.1	K07636	8e-125	415.5
GCF_034427495.1	WP_060398923.1	K07657	1.5e-83	278.7
GCF_034427495.1	WP_060398897.1	K16531	5.8e-20	69.2
GCF_035809815.1	WP_003180762.1	K00366	5.9e-86	287.2
GCF_035809815.1	WP_268388804.1	K00372	9.4e-278	922.0
GCF_035809815.1	WP_011198101.1	K01077	5.5e-102	340.5
GCF_035809815.1	WP_003178586.1	K01113	2e-168	560.2
GCF_035809815.1	WP_003182974.1	K01505	5.9e-16	56.1
GCF_035809815.1	WP_003182145.1	K01915	1.4e-108	362.3
GCF_035809815.1	WP_009329669.1	K02406	4.9e-134	446.2
GCF_035809815.1	WP_009329389.1	K02556	2.2e-94	314.7
GCF_035809815.1	WP_003181091.1	K02557	2.7e-73	245.5
GCF_035809815.1	WP_009328508.1	K03407	1e-224	746.2
GCF_035809815.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_035809815.1	WP_003178321.1	K03833	1.7e-79	266.2
GCF_035809815.1	WP_003182515.1	K03834	5.2e-12	43.3
GCF_035809815.1	WP_003184100.1	K04103	3.2e-68	228.5
GCF_035809815.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_035809815.1	WP_003184312.1	K07636	4.1e-124	413.2
GCF_035809815.1	WP_003183084.1	K07657	7.8e-83	276.3
GCF_035809815.1	WP_003182961.1	K16531	3.8e-21	73.2
GCF_035822295.1	WP_326246325.1	K00366	3.9e-85	284.4
GCF_035822295.1	WP_326350499.1	K00372	1.1e-278	925.0
GCF_035822295.1	WP_082033066.1	K01077	6.9e-114	379.8
GCF_035822295.1	WP_326350481.1	K01113	6.2e-166	551.9
GCF_035822295.1	WP_069149786.1	K01505	2.1e-14	50.9
GCF_035822295.1	WP_014664076.1	K01915	2.9e-107	357.9
GCF_035822295.1	WP_069150414.1	K02406	2e-128	427.6
GCF_035822295.1	WP_040082125.1	K02556	3.7e-94	313.9
GCF_035822295.1	WP_014663750.1	K02557	7.8e-72	240.7
GCF_035822295.1	WP_326245417.1	K03407	7.2e-226	750.0
GCF_035822295.1	WP_014476812.1	K03413	5.3e-48	162.1
GCF_035822295.1	WP_003242008.1	K03833	2.7e-79	265.5
GCF_035822295.1	WP_243572561.1	K04103	2.5e-71	238.7
GCF_035822295.1	WP_069149854.1	K06390	2e-132	439.5
GCF_035822295.1	WP_306645255.1	K07636	3.5e-125	416.7
GCF_035822295.1	WP_040082743.1	K07657	9.2e-84	279.3
GCF_035822295.1	WP_014664398.1	K16531	6.8e-22	75.6
GCF_035822435.1	WP_038429618.1	K00366	4e-84	281.2
GCF_035822435.1	WP_088467517.1	K00372	8.8e-281	932.0
GCF_035822435.1	WP_198878818.1	K01077	5.5e-113	376.9
GCF_035822435.1	WP_046664298.1	K01113	1.5e-165	550.7
GCF_035822435.1	WP_015383968.1	K01505	9.9e-15	52.0
GCF_035822435.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_035822435.1	WP_070547858.1	K02406	3.4e-130	433.5
GCF_035822435.1	WP_014477672.1	K02556	1.9e-94	315.0
GCF_035822435.1	WP_003232473.1	K02557	4.4e-72	241.5
GCF_035822435.1	WP_015483230.1	K03407	2.9e-225	748.0
GCF_035822435.1	WP_014476812.1	K03413	5.6e-48	162.1
GCF_035822435.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_035822435.1	WP_198878990.1	K04103	3.2e-71	238.4
GCF_035822435.1	WP_043857806.1	K06390	6.1e-132	438.0
GCF_035822435.1	WP_014480538.1	K07636	2.7e-125	417.1
GCF_035822435.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_035822435.1	WP_021481536.1	K16531	1.1e-20	71.6
GCF_035985545.1	WP_020450993.1	K00366	3.1e-85	284.9
GCF_035985545.1	WP_020450190.1	K00372	1.2e-277	921.7
GCF_035985545.1	WP_020452100.1	K01077	6.2e-101	337.1
GCF_035985545.1	WP_020449993.1	K01113	7.7e-168	558.3
GCF_035985545.1	WP_020451950.1	K01505	4.2e-16	56.6
GCF_035985545.1	WP_020451550.1	K01915	2.2e-108	361.7
GCF_035985545.1	WP_020453106.1	K02406	6.1e-128	426.1
GCF_035985545.1	WP_020452604.1	K02556	4.7e-95	317.0
GCF_035985545.1	WP_020451148.1	K02557	8.6e-73	243.9
GCF_035985545.1	WP_020451411.1	K03407	1.2e-223	742.8
GCF_035985545.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_035985545.1	WP_020449857.1	K03833	6.1e-79	264.5
GCF_035985545.1	WP_020450230.1	K04103	4.6e-68	228.0
GCF_035985545.1	WP_020452146.1	K06390	3.1e-131	435.8
GCF_035985545.1	WP_020452551.1	K07636	1.1e-123	411.9
GCF_035985545.1	WP_020451999.1	K07657	4.4e-83	277.2
GCF_035985545.1	WP_020451945.1	K16531	4.9e-21	72.9
GCF_036209985.1	WP_327852582.1	K00366	6.4e-84	280.4
GCF_036209985.1	WP_327852933.1	K00372	1.5e-274	911.3
GCF_036209985.1	WP_327852417.1	K01077	1.3e-113	378.8
GCF_036209985.1	WP_327852956.1	K01113	7.8e-164	544.9
GCF_036209985.1	WP_327852205.1	K01505	4.9e-14	49.6
GCF_036209985.1	WP_094232068.1	K01915	2.3e-108	361.5
GCF_036209985.1	WP_268532662.1	K02406	3.8e-127	423.4
GCF_036209985.1	WP_063637606.1	K02556	2.4e-93	311.2
GCF_036209985.1	WP_327851688.1	K02557	1.4e-72	243.0
GCF_036209985.1	WP_327851607.1	K03407	4.8e-222	737.3
GCF_036209985.1	WP_003328933.1	K03413	2.4e-47	159.9
GCF_036209985.1	WP_003328291.1	K03833	2.6e-79	265.5
GCF_036209985.1	WP_088116536.1	K04103	4e-70	234.6
GCF_036209985.1	WP_003325460.1	K06390	6.7e-133	441.1
GCF_036209985.1	WP_327851979.1	K07636	2.7e-122	407.1
GCF_036209985.1	WP_004429698.1	K07657	1e-83	279.1
GCF_036209985.1	WP_094233205.1	K16531	1.1e-18	64.9
GCF_036210315.1	WP_003180762.1	K00366	6.2e-86	287.2
GCF_036210315.1	WP_095240207.1	K00372	4.6e-278	923.1
GCF_036210315.1	WP_003183293.1	K01077	8.7e-102	339.9
GCF_036210315.1	WP_003178586.1	K01113	2.1e-168	560.2
GCF_036210315.1	WP_003182974.1	K01505	6.2e-16	56.1
GCF_036210315.1	WP_003182145.1	K01915	1.5e-108	362.3
GCF_036210315.1	WP_003185695.1	K02406	3.1e-132	440.3
GCF_036210315.1	WP_009329389.1	K02556	2.3e-94	314.7
GCF_036210315.1	WP_003181091.1	K02557	2.8e-73	245.5
GCF_036210315.1	WP_003181814.1	K03407	1.4e-224	745.9
GCF_036210315.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_036210315.1	WP_003178321.1	K03833	1.8e-79	266.2
GCF_036210315.1	WP_003182515.1	K03834	5.4e-12	43.3
