genome	protein_id	ko	evalue	score	threshold	score_minus_threshold
GCF_012955605.1	WP_228027619.1	K07636	1.2e-129	431.0	327.73	103.26999999999998
GCF_012955605.1	WP_170008243.1	K07692	4.8e-110	364.2	267.17	97.02999999999996
GCF_012955605.1	WP_170006391.1	K23187	6.3e-110	365.6	357.63	7.970000000000027
GCF_012955605.1	WP_170008095.1	K23188	5e-140	465.4	460.43	4.96999999999997
GCF_013342875.1	WP_029946299.1	K00004	2.5e-141	469.1	376.97	92.13
GCF_013342875.1	WP_047182059.1	K00372	4.3e-279	926.4	909.57	16.829999999999927
GCF_013342875.1	WP_080344160.1	K01077	4e-113	377.3	67.97	309.33000000000004
GCF_013342875.1	WP_015382673.1	K01113	1.5000000000000001e-165	550.7	94.03	456.6700000000001
GCF_013342875.1	WP_003231737.1	K01915	1.8999999999999998e-107	358.6	37.7	320.90000000000003
GCF_013342875.1	WP_015483147.1	K02013	1.4e-116	387.9	226.0	161.89999999999998
GCF_013342875.1	WP_047183161.1	K02015	1.3999999999999998e-105	352.1	343.37	8.730000000000018
GCF_013342875.1	WP_015384616.1	K02016	5.1e-69	231.4	157.77	73.63
GCF_013342875.1	WP_014480273.1	K02036	3.8999999999999996e-142	471.7	268.53	203.17
GCF_013342875.1	WP_015714268.1	K02037	1.9e-100	335.6	260.07	75.53000000000003
GCF_013342875.1	WP_174616720.1	K02038	2.8e-94	314.8	255.13	59.670000000000016
GCF_013342875.1	WP_047182883.1	K02040	9.4e-78	260.3	55.67	204.63
GCF_013342875.1	WP_029725988.1	K02406	3.6e-133	443.3	135.0	308.3
GCF_013342875.1	WP_014477672.1	K02556	1.9e-94	315.0	97.97	217.03
GCF_013342875.1	WP_003232473.1	K02557	4.4e-72	241.5	144.87	96.63
GCF_013342875.1	WP_015483230.1	K03407	2.9000000000000004e-225	748.0	509.2	238.8
GCF_013342875.1	WP_014476812.1	K03413	5.6e-48	162.1	135.0	27.099999999999994
GCF_013342875.1	WP_003230226.1	K06390	4.6e-132	438.4	217.4	221.0
GCF_013342875.1	WP_047183011.1	K07636	4.4e-126	419.7	327.73	91.96999999999996
GCF_013342875.1	WP_003219701.1	K07692	7.6e-113	373.9	267.17	106.72999999999996
GCF_013342875.1	WP_174616694.1	K19549	2.9e-252	834.4	689.47	144.92999999999995
GCF_013342875.1	WP_029726228.1	K19550	4.4e-144	476.2	388.33	87.87
GCF_013342875.1	WP_015384956.1	K19552	1.5e-256	848.6	730.4	118.20000000000005
GCF_013342875.1	WP_010886609.1	K23188	8.5e-142	471.7	460.43	11.269999999999982
GCF_013347105.1	WP_024120423.1	K00004	5.399999999999999e-141	468.0	376.97	91.02999999999996
GCF_013347105.1	WP_106021076.1	K00372	3e-279	927.0	909.57	17.42999999999995
GCF_013347105.1	WP_106020847.1	K01077	4.7e-116	387.0	67.97	319.03
GCF_013347105.1	WP_106021195.1	K01113	2.9e-164	546.5	94.03	452.47
GCF_013347105.1	WP_024121509.1	K01915	5.9e-107	357.0	37.7	319.3
GCF_013347105.1	WP_106020420.1	K02013	5e-113	376.2	226.0	150.2
GCF_013347105.1	WP_106019542.1	K02015	4e-106	353.9	343.37	10.529999999999973
GCF_013347105.1	WP_024122808.1	K02016	6.5e-68	227.8	157.77	70.03
GCF_013347105.1	WP_024122064.1	K02036	7.1e-142	470.8	268.53	202.27000000000004
GCF_013347105.1	WP_024122067.1	K02037	1.4e-100	336.0	260.07	75.93
GCF_013347105.1	WP_024122066.1	K02038	9.7e-94	313.0	255.13	57.870000000000005
GCF_013347105.1	WP_024122068.1	K02040	5.6e-77	257.7	55.67	202.03
GCF_013347105.1	WP_106019634.1	K02406	4e-129	430.0	135.0	295.0
GCF_013347105.1	WP_024122512.1	K02556	1.7e-95	318.4	97.97	220.43
GCF_013347105.1	WP_024121173.1	K02557	1.3000000000000001e-71	240.0	144.87	95.13
GCF_013347105.1	WP_106020713.1	K03407	3.8e-226	750.9	509.2	241.7
GCF_013347105.1	WP_010334256.1	K03413	1.6e-47	160.6	135.0	25.599999999999994
GCF_013347105.1	WP_024122021.1	K06390	4.6e-134	445.0	217.4	227.6
GCF_013347105.1	WP_106020250.1	K07636	2.5000000000000004e-125	417.2	327.73	89.46999999999997
GCF_013347105.1	WP_003219701.1	K07692	7.6e-113	373.9	267.17	106.72999999999996
GCF_013347105.1	WP_024123243.1	K19549	3.3e-250	827.6	689.47	138.13
GCF_013347105.1	WP_105954423.1	K19550	5e-143	472.7	388.33	84.37
GCF_013347105.1	WP_024123244.1	K19552	2.4e-255	844.6	730.4	114.20000000000005
GCF_013347105.1	WP_081638363.1	K23188	8.6e-142	471.7	460.43	11.269999999999982
GCF_013348705.1	WP_012116982.1	K00004	1.6e-140	466.3	376.97	89.32999999999998
GCF_013348705.1	WP_011996307.1	K00372	4.1000000000000004e-277	919.7	909.57	10.129999999999995
GCF_013348705.1	WP_012117173.1	K01077	7e-111	369.7	67.97	301.73
GCF_013348705.1	WP_011996268.1	K01113	7.6e-168	558.1	94.03	464.0700000000001
GCF_013348705.1	WP_007410365.1	K01915	1.3000000000000001e-108	362.2	37.7	324.5
GCF_013348705.1	WP_012117397.1	K02013	3.6e-111	369.9	226.0	143.89999999999998
GCF_013348705.1	WP_012118414.1	K02015	9.100000000000001e-104	345.9	343.37	2.5299999999999727
GCF_013348705.1	WP_012118415.1	K02016	1.7999999999999998e-68	229.4	157.77	71.63
GCF_013348705.1	WP_003153040.1	K02036	2e-137	456.0	268.53	187.47000000000003
GCF_013348705.1	WP_012117997.1	K02037	8.6e-98	326.6	260.07	66.53000000000003
GCF_013348705.1	WP_012117996.1	K02038	1.9e-91	305.3	255.13	50.170000000000016
GCF_013348705.1	WP_012117998.1	K02040	1.7e-76	256.0	55.67	200.33
GCF_013348705.1	WP_007614094.1	K02406	5.2999999999999997e-138	459.1	135.0	324.1
GCF_013348705.1	WP_012118208.1	K02556	1.2999999999999999e-96	321.8	97.97	223.83
GCF_013348705.1	WP_003154685.1	K02557	1.8e-72	242.6	144.87	97.73
GCF_013348705.1	WP_023356898.1	K03407	3.5000000000000003e-225	747.6	509.2	238.40000000000003
GCF_013348705.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_013348705.1	WP_012117969.1	K06390	8.9e-131	434.1	217.4	216.7
GCF_013348705.1	WP_012118165.1	K07636	6.1e-126	419.1	327.73	91.37
GCF_013348705.1	WP_003219701.1	K07692	6.7e-113	373.9	267.17	106.72999999999996
GCF_013348705.1	WP_012118704.1	K19549	8.4e-252	832.7	689.47	143.23000000000002
GCF_013348705.1	WP_007407669.1	K19550	2.1e-141	467.2	388.33	78.87
GCF_013348705.1	WP_012118705.1	K19552	4.4e-257	850.2	730.4	119.80000000000008
GCF_013348705.1	WP_012118397.1	K23188	2.7e-143	476.4	460.43	15.96999999999997
GCF_014042035.1	WP_182069286.1	K00372	3.7999999999999995e-279	926.6	909.57	17.029999999999973
GCF_014042035.1	WP_182070412.1	K01077	1.7e-99	332.3	67.97	264.33000000000004
GCF_014042035.1	WP_182069465.1	K01113	2.2000000000000003e-168	560.0	94.03	465.97
GCF_014042035.1	WP_003182145.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_014042035.1	WP_182071119.1	K02013	5.0999999999999996e-95	316.8	226.0	90.8
GCF_014042035.1	WP_182070076.1	K02016	5.9e-72	241.1	157.77	83.32999999999998
GCF_014042035.1	WP_023855209.1	K02036	2.6e-140	465.7	268.53	197.17
GCF_014042035.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_014042035.1	WP_182070370.1	K02038	2e-95	318.6	255.13	63.47000000000003
GCF_014042035.1	WP_043928726.1	K02040	6.2e-75	251.0	55.67	195.33
GCF_014042035.1	WP_146874673.1	K02406	2.6e-130	433.9	135.0	298.9
GCF_014042035.1	WP_076791151.1	K02556	8.1e-94	312.8	97.97	214.83
GCF_014042035.1	WP_154996025.1	K02557	2.5000000000000002e-73	245.6	144.87	100.73
GCF_014042035.1	WP_182070680.1	K03407	3.0000000000000003e-224	744.7	509.2	235.50000000000009
GCF_014042035.1	WP_003181796.1	K03413	2.3e-46	156.7	135.0	21.69999999999999
GCF_014042035.1	WP_182070395.1	K06390	1.8e-131	436.5	217.4	219.1
GCF_014042035.1	WP_182070238.1	K07636	2.7e-124	413.8	327.73	86.07
GCF_014042035.1	WP_003185730.1	K07692	2.1999999999999998e-112	372.3	267.17	105.13
GCF_014042035.1	WP_154998210.1	K23188	1.5e-138	461.0	460.43	0.5699999999999932
GCF_014673515.1	WP_011197552.1	K00372	1.5000000000000001e-277	921.3	909.57	11.729999999999905
GCF_014673515.1	WP_011198101.1	K01077	5.4e-102	340.5	67.97	272.53
GCF_014673515.1	WP_003178586.1	K01113	1.9e-168	560.2	94.03	466.1700000000001
GCF_014673515.1	WP_003182145.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_014673515.1	WP_003186508.1	K02013	1.1e-95	319.0	226.0	93.0
GCF_014673515.1	WP_003185150.1	K02016	8.9e-72	240.5	157.77	82.72999999999999
GCF_014673515.1	WP_043928725.1	K02036	1.3e-140	466.7	268.53	198.17
GCF_014673515.1	WP_003183532.1	K02037	1.2e-98	329.6	260.07	69.53000000000003
GCF_014673515.1	WP_003183530.1	K02038	8.2e-95	316.5	255.13	61.370000000000005
GCF_014673515.1	WP_031314660.1	K02040	3.2e-76	255.2	55.67	199.53
GCF_014673515.1	WP_263282247.1	K02406	4.7e-44	149.3	135.0	14.300000000000011
GCF_014673515.1	WP_011198198.1	K02556	2.8e-94	314.4	97.97	216.43
GCF_014673515.1	WP_003181091.1	K02557	2.6e-73	245.5	144.87	100.63
GCF_014673515.1	WP_009328508.1	K03407	1e-224	746.2	509.2	237.00000000000009
GCF_014673515.1	WP_003181796.1	K03413	2.3e-46	156.7	135.0	21.69999999999999
GCF_014673515.1	WP_003183411.1	K06390	1.3e-130	433.6	217.4	216.2
GCF_014673515.1	WP_009329362.1	K07636	3.9e-124	413.3	327.73	85.57
GCF_014673515.1	WP_003185730.1	K07692	2.1999999999999998e-112	372.3	267.17	105.13
GCF_014842935.1	WP_007408876.1	K00004	2.2e-140	465.9	376.97	88.92999999999995
GCF_014842935.1	WP_039252838.1	K00372	9.999999999999999e-277	918.4	909.57	8.829999999999927
GCF_014842935.1	WP_033575133.1	K01113	1.6e-167	557.1	94.03	463.0700000000001
GCF_014842935.1	WP_007410365.1	K01915	1.3000000000000001e-108	362.2	37.7	324.5
GCF_014842935.1	WP_039251686.1	K02013	1e-109	365.2	226.0	139.2
GCF_014842935.1	WP_039253900.1	K02015	2.1e-104	348.0	343.37	4.629999999999996
GCF_014842935.1	WP_039253898.1	K02016	1.8999999999999998e-68	229.4	157.77	71.63
GCF_014842935.1	WP_003153040.1	K02036	2e-137	456.0	268.53	187.47000000000003
GCF_014842935.1	WP_039254462.1	K02037	8e-98	326.8	260.07	66.73000000000002
GCF_014842935.1	WP_007408306.1	K02038	1.6999999999999999e-91	305.5	255.13	50.370000000000005
GCF_014842935.1	WP_039254459.1	K02040	1.4e-76	256.3	55.67	200.63
GCF_014842935.1	WP_039253658.1	K02406	7.5e-137	455.4	135.0	320.4
GCF_014842935.1	WP_007408775.1	K02556	1.2999999999999999e-96	321.9	97.97	223.93
GCF_014842935.1	WP_003154685.1	K02557	1.9e-72	242.6	144.87	97.73
GCF_014842935.1	WP_039251503.1	K03407	1.5e-225	748.9	509.2	239.7
GCF_014842935.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_014842935.1	WP_039254506.1	K06390	1.2000000000000002e-130	433.7	217.4	216.3
GCF_014842935.1	WP_039254239.1	K07636	3.7000000000000004e-125	416.5	327.73	88.76999999999998
GCF_014842935.1	WP_003219701.1	K07692	6.9e-113	373.9	267.17	106.72999999999996
GCF_014842935.1	WP_039253428.1	K19549	4.2e-251	830.4	689.47	140.92999999999995
GCF_014842935.1	WP_007407669.1	K19550	2.1999999999999998e-141	467.2	388.33	78.87
GCF_014842935.1	WP_007407671.1	K19552	1.5e-257	851.7	730.4	121.30000000000008
GCF_014842935.1	WP_012118397.1	K23188	2.8e-143	476.4	460.43	15.96999999999997
GCF_015732475.1	WP_003155800.1	K00004	2.1e-140	466.0	376.97	89.02999999999997
GCF_015732475.1	WP_003155322.1	K01077	1.3000000000000001e-110	368.9	67.97	300.92999999999995
GCF_015732475.1	WP_014304274.1	K01113	1.6e-167	557.1	94.03	463.0700000000001
GCF_015732475.1	WP_003154048.1	K01915	1.3000000000000001e-108	362.3	37.7	324.6
GCF_015732475.1	WP_024085216.1	K02013	1.1000000000000001e-110	368.4	226.0	142.39999999999998
GCF_015732475.1	WP_024085782.1	K02015	8.8e-104	346.1	343.37	2.730000000000018
GCF_015732475.1	WP_044052914.1	K02016	1.6e-68	229.7	157.77	71.92999999999998
GCF_015732475.1	WP_003153040.1	K02036	2.1e-137	456.0	268.53	187.47000000000003
GCF_015732475.1	WP_003153034.1	K02037	9.4e-98	326.6	260.07	66.53000000000003
GCF_015732475.1	WP_003153036.1	K02038	1e-90	303.0	255.13	47.870000000000005
GCF_015732475.1	WP_012117998.1	K02040	1.8e-76	256.0	55.67	200.33
GCF_015732475.1	WP_015387631.1	K02406	8.499999999999999e-139	461.8	135.0	326.8
GCF_015732475.1	WP_003152386.1	K02556	5.9e-97	323.1	97.97	225.13
GCF_015732475.1	WP_003154685.1	K02557	1.9e-72	242.6	144.87	97.73
GCF_015732475.1	WP_015388231.1	K03407	1.3e-225	749.2	509.2	240.00000000000009
GCF_015732475.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_015732475.1	WP_196479392.1	K03837	2.2e-170	564.8	526.93	37.870000000000005
GCF_015732475.1	WP_044053459.1	K06390	1.2000000000000002e-130	433.8	217.4	216.4
GCF_015732475.1	WP_015387864.1	K07636	4.8e-126	419.5	327.73	91.76999999999998
GCF_015732475.1	WP_003219701.1	K07692	7.2e-113	373.9	267.17	106.72999999999996
GCF_015732475.1	WP_014306032.1	K19549	3.1000000000000003e-252	834.2	689.47	144.73000000000002
GCF_015732475.1	WP_025649393.1	K19550	4.8999999999999995e-141	466.1	388.33	77.77000000000004
GCF_015732475.1	WP_014306033.1	K19552	5.6e-257	849.9	730.4	119.5
GCF_015732475.1	WP_003151820.1	K23188	3.8e-143	476.0	460.43	15.569999999999991
GCF_016904925.1	WP_003155800.1	K00004	2e-140	466.0	376.97	89.02999999999997
GCF_016904925.1	WP_204530400.1	K01077	4.8e-111	370.4	67.97	302.42999999999995
GCF_016904925.1	WP_204530239.1	K01113	2.3e-167	556.6	94.03	462.5700000000001
GCF_016904925.1	WP_003154048.1	K01915	1.3000000000000001e-108	362.3	37.7	324.6
GCF_016904925.1	WP_204530501.1	K02013	5.400000000000001e-110	366.1	226.0	140.10000000000002
GCF_016904925.1	WP_017418939.1	K02015	1.2e-103	345.6	343.37	2.230000000000018
GCF_016904925.1	WP_017418938.1	K02016	1.2e-68	230.2	157.77	72.42999999999998
GCF_016904925.1	WP_095318405.1	K02036	1.9e-137	456.2	268.53	187.67
GCF_016904925.1	WP_103526753.1	K02037	8.6e-98	326.7	260.07	66.63
GCF_016904925.1	WP_103526754.1	K02038	1.1999999999999999e-90	302.7	255.13	47.56999999999999
GCF_016904925.1	WP_102421890.1	K02040	7.7e-77	257.2	55.67	201.53
GCF_016904925.1	WP_007407474.1	K02406	7e-138	458.8	135.0	323.8
GCF_016904925.1	WP_156735661.1	K02556	2.5e-96	321.1	97.97	223.13
GCF_016904925.1	WP_014417581.1	K02557	1.9e-72	242.7	144.87	97.82999999999998
GCF_016904925.1	WP_156735039.1	K03407	1.3e-225	749.1	509.2	239.90000000000003
GCF_016904925.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_016904925.1	WP_044053459.1	K06390	1.1000000000000001e-130	433.8	217.4	216.4
GCF_016904925.1	WP_109567112.1	K07636	4.7e-126	419.6	327.73	91.87
GCF_016904925.1	WP_003219701.1	K07692	7.2e-113	373.9	267.17	106.72999999999996
GCF_016904925.1	WP_156735425.1	K19549	3.7e-251	830.7	689.47	141.23000000000002
GCF_016904925.1	WP_017418688.1	K19550	4.7e-141	466.1	388.33	77.77000000000004
GCF_016904925.1	WP_032857143.1	K19552	4.6e-257	850.2	730.4	119.80000000000008
GCF_016904925.1	WP_003151820.1	K23188	3.8e-143	476.0	460.43	15.569999999999991
GCF_017338795.1	WP_016885148.1	K00372	8.899999999999999e-278	922.1	909.57	12.529999999999973
GCF_017338795.1	WP_003183293.1	K01077	8.6e-102	339.9	67.97	271.92999999999995
GCF_017338795.1	WP_003178586.1	K01113	2e-168	560.2	94.03	466.1700000000001
GCF_017338795.1	WP_003182145.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_017338795.1	WP_003186508.1	K02013	1.1999999999999999e-95	319.0	226.0	93.0
GCF_017338795.1	WP_003185150.1	K02016	9.3e-72	240.5	157.77	82.72999999999999
GCF_017338795.1	WP_043928725.1	K02036	1.3999999999999999e-140	466.7	268.53	198.17
GCF_017338795.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_017338795.1	WP_003183530.1	K02038	8.6e-95	316.5	255.13	61.370000000000005
GCF_017338795.1	WP_003183534.1	K02040	3.4e-77	258.5	55.67	202.83
GCF_017338795.1	WP_057957824.1	K02406	1.1e-134	448.3	135.0	313.3
GCF_017338795.1	WP_009329389.1	K02556	2.2e-94	314.7	97.97	216.73
GCF_017338795.1	WP_003181091.1	K02557	2.7000000000000003e-73	245.5	144.87	100.63
GCF_017338795.1	WP_009328508.1	K03407	1.1e-224	746.2	509.2	237.00000000000009
GCF_017338795.1	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_017338795.1	WP_003183411.1	K06390	1.4e-130	433.6	217.4	216.2
GCF_017338795.1	WP_003184312.1	K07636	4.2e-124	413.2	327.73	85.46999999999997
GCF_017338795.1	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_018530835.1	WP_003234015.1	K00004	1.5e-141	469.8	376.97	92.82999999999998
GCF_018530835.1	WP_061891261.1	K00372	4.3e-278	923.1	909.57	13.529999999999973
GCF_018530835.1	WP_080480994.1	K01077	1.4e-113	378.7	67.97	310.73
GCF_018530835.1	WP_014478721.1	K01113	1.4e-165	550.8	94.03	456.77
GCF_018530835.1	WP_003231737.1	K01915	1.8e-107	358.6	37.7	320.90000000000003
GCF_018530835.1	WP_019712473.1	K02013	7.2e-116	385.5	226.0	159.5
GCF_018530835.1	WP_046381317.1	K02015	1.6e-105	351.8	343.37	8.430000000000007
GCF_018530835.1	WP_046381318.1	K02016	1.2e-68	230.2	157.77	72.42999999999998
GCF_018530835.1	WP_069322759.1	K02036	8.9e-142	470.5	268.53	201.97000000000003
GCF_018530835.1	WP_014477352.1	K02037	1.6e-100	335.8	260.07	75.73000000000002
GCF_018530835.1	WP_003230103.1	K02038	1.9e-94	315.3	255.13	60.170000000000016
GCF_018530835.1	WP_015714269.1	K02040	1.3e-77	259.8	55.67	204.13
GCF_018530835.1	WP_003228021.1	K02406	7.3e-130	432.4	135.0	297.4
GCF_018530835.1	WP_014477672.1	K02556	1.8e-94	315.0	97.97	217.03
GCF_018530835.1	WP_003232473.1	K02557	4.2e-72	241.5	144.87	96.63
GCF_018530835.1	WP_014476817.1	K03407	2.5e-225	748.2	509.2	239.00000000000009
GCF_018530835.1	WP_014476812.1	K03413	5.4e-48	162.1	135.0	27.099999999999994
GCF_018530835.1	WP_029317922.1	K06390	4.5e-132	438.4	217.4	221.0
GCF_018530835.1	WP_004398493.1	K07636	3.7000000000000004e-125	416.6	327.73	88.87
GCF_018530835.1	WP_003219701.1	K07692	7.3e-113	373.9	267.17	106.72999999999996
GCF_018530835.1	WP_014481235.1	K19549	1.1000000000000001e-253	839.0	689.47	149.52999999999997
GCF_018530835.1	WP_042975433.1	K19550	6.5e-144	475.5	388.33	87.17000000000002
GCF_018530835.1	WP_014481236.1	K19552	5.7999999999999996e-257	849.9	730.4	119.5
GCF_018530835.1	WP_010886609.1	K23188	8.2e-142	471.7	460.43	11.269999999999982
GCF_019285615.1	WP_007408876.1	K00004	2.4e-140	465.9	376.97	88.92999999999995
GCF_019285615.1	WP_218791480.1	K00372	2.1000000000000002e-277	920.8	909.57	11.229999999999905
GCF_019285615.1	WP_015239477.1	K01077	4.2000000000000005e-111	370.6	67.97	302.63
GCF_019285615.1	WP_218791468.1	K01113	1.8e-167	557.0	94.03	462.97
GCF_019285615.1	WP_007410365.1	K01915	1.5e-108	362.2	37.7	324.5
GCF_019285615.1	WP_122503860.1	K02013	1.2e-109	365.1	226.0	139.10000000000002
GCF_019285615.1	WP_025285248.1	K02015	3.5e-104	347.4	343.37	4.029999999999973
GCF_019285615.1	WP_012118415.1	K02016	2e-68	229.4	157.77	71.63
GCF_019285615.1	WP_032870592.1	K02036	1.1e-137	457.0	268.53	188.47000000000003
GCF_019285615.1	WP_085342194.1	K02037	9.6e-98	326.6	260.07	66.53000000000003
GCF_019285615.1	WP_025285004.1	K02038	6.699999999999999e-91	303.6	255.13	48.47000000000003
GCF_019285615.1	WP_007408304.1	K02040	1.2e-76	256.7	55.67	201.03
GCF_019285615.1	WP_007614094.1	K02406	5.9e-138	459.1	135.0	324.1
GCF_019285615.1	WP_218791327.1	K02556	4.1999999999999995e-95	317.1	97.97	219.13
GCF_019285615.1	WP_003154685.1	K02557	2.0000000000000002e-72	242.6	144.87	97.73
GCF_019285615.1	WP_122503907.1	K03407	3.6e-225	747.7	509.2	238.50000000000009
GCF_019285615.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_019285615.1	WP_007408342.1	K06390	1.4e-130	433.6	217.4	216.2
GCF_019285615.1	WP_025285095.1	K07636	6.7e-126	419.1	327.73	91.37
GCF_019285615.1	WP_003219701.1	K07692	7.5e-113	373.9	267.17	106.72999999999996
GCF_019285615.1	WP_025285436.1	K19549	2.4999999999999997e-251	831.3	689.47	141.82999999999993
GCF_019285615.1	WP_007407669.1	K19550	2.3999999999999998e-141	467.2	388.33	78.87
GCF_019285615.1	WP_124692678.1	K19552	1.7e-256	848.4	730.4	118.0
GCF_019285615.1	WP_012118397.1	K23188	3e-143	476.4	460.43	15.96999999999997
GCF_019880425.1	WP_007408876.1	K00004	2.3e-140	465.9	376.97	88.92999999999995
GCF_019880425.1	WP_174747470.1	K00372	1.9e-276	917.6	909.57	8.029999999999973
GCF_019880425.1	WP_043021357.1	K01077	1.9e-111	371.7	67.97	303.73
GCF_019880425.1	WP_021495297.1	K01113	1.6e-167	557.2	94.03	463.1700000000001
GCF_019880425.1	WP_007410365.1	K01915	1.4e-108	362.2	37.7	324.5
GCF_019880425.1	WP_029974684.1	K02013	6.6e-110	365.8	226.0	139.8
GCF_019880425.1	WP_222893422.1	K02015	3.6e-103	344.0	343.37	0.6299999999999955
GCF_019880425.1	WP_012118415.1	K02016	2e-68	229.4	157.77	71.63
GCF_019880425.1	WP_014418390.1	K02036	5.5e-138	458.0	268.53	189.47000000000003
GCF_019880425.1	WP_007612605.1	K02037	1.1e-97	326.5	260.07	66.43
GCF_019880425.1	WP_007408306.1	K02038	1.8e-91	305.5	255.13	50.370000000000005
GCF_019880425.1	WP_007408304.1	K02040	1.1e-76	256.7	55.67	201.03
GCF_019880425.1	WP_022553864.1	K02406	2.0999999999999997e-139	463.8	135.0	328.8
GCF_019880425.1	WP_007408775.1	K02556	1.3999999999999999e-96	321.9	97.97	223.93
GCF_019880425.1	WP_017417652.1	K02557	2.1e-72	242.5	144.87	97.63
GCF_019880425.1	WP_022553341.1	K03407	5.9e-225	746.9	509.2	237.7
GCF_019880425.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_019880425.1	WP_201741795.1	K03837	1.5e-170	565.4	526.93	38.47000000000003
GCF_019880425.1	WP_007408342.1	K06390	1.3e-130	433.6	217.4	216.2
GCF_019880425.1	WP_022552838.1	K07636	1.5000000000000002e-125	417.9	327.73	90.16999999999996
GCF_019880425.1	WP_003219701.1	K07692	7.2e-113	373.9	267.17	106.72999999999996
GCF_019880425.1	WP_021494772.1	K19549	4.8e-252	833.6	689.47	144.13
GCF_019880425.1	WP_021494773.1	K19550	4.7e-141	466.2	388.33	77.87
GCF_019880425.1	WP_021494771.1	K19552	2.8999999999999998e-257	850.8	730.4	120.39999999999998
GCF_019880425.1	WP_014418835.1	K23188	3.9e-143	476.0	460.43	15.569999999999991
GCF_020149955.1	WP_003155800.1	K00004	2.1e-140	466.0	376.97	89.02999999999997
GCF_020149955.1	WP_017419377.1	K00372	6.500000000000001e-277	919.1	909.57	9.529999999999973
GCF_020149955.1	WP_017417347.1	K01077	2e-111	371.6	67.97	303.63
GCF_020149955.1	WP_129093581.1	K01113	6.1000000000000006e-167	555.2	94.03	461.1700000000001
GCF_020149955.1	WP_017417829.1	K01915	1.1e-108	362.5	37.7	324.8
GCF_020149955.1	WP_017417635.1	K02013	5.9e-109	362.7	226.0	136.7
GCF_020149955.1	WP_071181985.1	K02015	1.3e-103	345.5	343.37	2.1299999999999955
GCF_020149955.1	WP_071181986.1	K02016	1.3e-68	230.0	157.77	72.22999999999999
GCF_020149955.1	WP_003153040.1	K02036	2.1e-137	456.0	268.53	187.47000000000003
GCF_020149955.1	WP_007612605.1	K02037	1.1e-97	326.5	260.07	66.43
GCF_020149955.1	WP_017418153.1	K02038	3.3999999999999997e-91	304.6	255.13	49.47000000000003
GCF_020149955.1	WP_017418155.1	K02040	2.1999999999999998e-75	252.4	55.67	196.73
GCF_020149955.1	WP_017418819.1	K02406	3.6e-139	463.1	135.0	328.1
GCF_020149955.1	WP_007408775.1	K02556	1.3999999999999999e-96	321.9	97.97	223.93
GCF_020149955.1	WP_017417652.1	K02557	2.1e-72	242.5	144.87	97.63
GCF_020149955.1	WP_021493681.1	K03407	6.5e-225	746.8	509.2	237.6
GCF_020149955.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_020149955.1	WP_017418128.1	K06390	1.9000000000000003e-130	433.1	217.4	215.7
GCF_020149955.1	WP_065181001.1	K07636	7.900000000000001e-126	418.8	327.73	91.07
GCF_020149955.1	WP_003219701.1	K07692	7.2e-113	373.9	267.17	106.72999999999996
GCF_020149955.1	WP_017418687.1	K19549	3.2e-251	830.9	689.47	141.42999999999995
GCF_020149955.1	WP_025649393.1	K19550	4.8999999999999995e-141	466.1	388.33	77.77000000000004
GCF_020149955.1	WP_007407671.1	K19552	1.6e-257	851.7	730.4	121.30000000000008
GCF_020149955.1	WP_014418835.1	K23188	3.9e-143	476.0	460.43	15.569999999999991
GCF_021892375.1	WP_007408876.1	K00004	2.2e-140	465.9	376.97	88.92999999999995
GCF_021892375.1	WP_108725174.1	K00372	4.1000000000000004e-277	919.7	909.57	10.129999999999995
GCF_021892375.1	WP_108725077.1	K01077	2e-111	371.5	67.97	303.53
GCF_021892375.1	WP_021495297.1	K01113	1.5000000000000001e-167	557.2	94.03	463.1700000000001
GCF_021892375.1	WP_007410365.1	K01915	1.4e-108	362.2	37.7	324.5
GCF_021892375.1	WP_237436651.1	K02013	3.1e-108	360.3	226.0	134.3
GCF_021892375.1	WP_025285248.1	K02015	3.3e-104	347.4	343.37	4.029999999999973
GCF_021892375.1	WP_007410050.1	K02016	9.2e-68	227.2	157.77	69.42999999999998
GCF_021892375.1	WP_003153040.1	K02036	2e-137	456.0	268.53	187.47000000000003
GCF_021892375.1	WP_012117997.1	K02037	8.9e-98	326.6	260.07	66.53000000000003
