Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_051914985.1	Bacillus cereus group sp. BCN66	Contig	current	5179111	32	SAMN50000251	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915005.1	Bacillus cereus group sp. BCN63	Contig	current	5180786	29	SAMN50000249	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915025.1	Bacillus cereus group sp. BCN42	Contig	current	5178724	30	SAMN50000248	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915045.1	Bacillus cereus group sp. BCN33	Contig	current	5202447	41	SAMN50000247	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915065.1	Bacillus cereus group sp. BCN32	Contig	current	5142380	38	SAMN50000246	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915085.1	Bacillus cereus group sp. BCN23	Contig	current	5202753	41	SAMN50000244	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915105.1	Bacillus cereus group sp. BCN31	Contig	current	5626103	41	SAMN50000245	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915125.1	Bacillus cereus group sp. BCN11	Contig	current	5202582	40	SAMN50000243	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915145.1	Bacillus cereus group sp. BCN9	Contig	current	5203052	41	SAMN50000242	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051915245.1	Bacillus cereus group sp. MYBK88-2	Contig	current	5532703	61	SAMN50000237	milk products	China:Zhejiang		exclude_review	milk
GCF_051915265.1	Bacillus cereus group sp. MYBK88-1	Contig	current	5544127	61	SAMN50000236	milk products	China:Zhejiang		exclude_review	milk
GCF_051915345.1	Bacillus cereus group sp. MYBK81-2	Contig	current	5532789	85	SAMN50000233	milk products	China:Zhejiang		exclude_review	milk
GCF_051915385.1	Bacillus cereus group sp. MYBK77-2	Contig	current	5457963	72	SAMN50000230	milk products	China:Zhejiang		exclude_review	milk
GCF_051915405.1	Bacillus cereus group sp. MYBK77-1	Contig	current	5151549	55	SAMN50000229	milk products	China:Zhejiang		exclude_review	milk
GCF_051915485.1	Bacillus cereus group sp. MYBK69-2	Contig	current	5214524	32	SAMN50000225	milk products	China:Zhejiang		exclude_review	milk
GCF_051915505.1	Bacillus cereus group sp. MYBK69-1	Contig	current	5214767	34	SAMN50000224	milk products	China:Zhejiang		exclude_review	milk
GCF_051915735.1	Bacillus cereus group sp. MYBK48-1	Contig	current	5305568	69	SAMN50000213	milk products	China:Zhejiang		exclude_review	milk
GCF_051915845.1	Bacillus cereus group sp. MYBK35-2	Contig	current	5561848	38	SAMN50000207	milk products	China:Zhejiang		exclude_review	milk
GCF_051916765.1	Bacillus cereus group sp. MYBK15-3	Contig	current	5612210	27	SAMN50000161	milk products	China:Zhejiang		exclude_review	milk
GCF_051916785.1	Bacillus cereus group sp. MYBK15-2	Contig	current	5611197	28	SAMN50000160	milk products	China:Zhejiang		exclude_review	milk
GCF_051916805.1	Bacillus cereus group sp. MYBK15-1	Contig	current	5611782	27	SAMN50000159	milk products	China:Zhejiang		exclude_review	milk
GCF_051916825.1	Bacillus cereus group sp. MYBK150-2	Contig	current	5522971	28	SAMN50000158	milk products	China:Zhejiang		exclude_review	milk
GCF_051917095.1	Bacillus cereus group sp. MYBK110-2	Contig	current	5503514	76	SAMN50000144	milk products	China:Zhejiang		exclude_review	milk
GCF_051918845.1	Bacillus cereus group sp. MYBK101-2	Contig	current	5357682	47	SAMN50000137	milk products	China:Zhejiang		exclude_review	milk
GCF_001587195.1	Bacillus licheniformis	Scaffold	current	4521337	129	SAMN03267275	Buttermilk powder	Netherlands		exclude_review	milk
GCF_002443095.1	Bacillus glycinifermentans	Complete Genome	current	4659467	1	SAMN07665165	blood	South Korea: Jeonju	Homo sapiens	exclude_review	blood
GCF_004103615.1	Bacillus glycinifermentans	Complete Genome	current	4810226	2	SAMN10754282	food	South Korea		exclude_review	food
GCF_018916735.1	Bacillus halotolerans	Contig	current	4152327	35	SAMN19374085	feces	China: Suzhou	Macaca fascicularis	exclude_review	feces
GCF_032463625.1	Bacillus inaquosorum	Complete Genome	current	4360357	1	SAMN37521447		Pakistan: KPK Hattar Industrial Estate		exclude_review	industrial
GCF_049852145.1	Bacillus inaquosorum	Complete Genome	current	4227079	1	SAMN47759795	colon feces	China:Chongqing	Rongchang pig	exclude_review	feces
GCF_050460245.1	Bacillus glycinifermentans	Scaffold	current	4781219	107	SAMN41009287	Soybeans, Korean choenggukjang fermentation	South Korea		exclude_review	fermentation
GCF_050876445.1	Bacillus cytotoxicus	Contig	current	4229377	113	SAMN46785645	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876465.1	Bacillus cytotoxicus	Contig	current	4195492	88	SAMN46785644	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876485.1	Bacillus cytotoxicus	Contig	current	4132666	91	SAMN46785643	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876505.1	Bacillus cytotoxicus	Contig	current	4134681	89	SAMN46785642	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876525.1	Bacillus cytotoxicus	Contig	current	4133067	93	SAMN46785641	Food; chicken patty	Germany		exclude_review	food
GCF_050876545.1	Bacillus cytotoxicus	Contig	current	4246337	99	SAMN46785640	Food; vegetarian burger	Germany		exclude_review	food
GCF_050876565.1	Bacillus cytotoxicus	Contig	current	4081075	88	SAMN46785638	Food; yams-mixture, powder, starch rich food product	Germany		exclude_review	food
GCF_050876585.1	Bacillus cytotoxicus	Contig	current	4272120	90	SAMN46785639	Food; soup, with potatoes as ingredient	Germany		exclude_review	food
GCF_050876605.1	Bacillus cytotoxicus	Contig	current	4171001	120	SAMN46785637	Food; dry instant soup, with potatoes as ingredient	Germany		exclude_review	food
GCF_050876625.1	Bacillus cytotoxicus	Contig	current	4137678	75	SAMN46785636	Food; rasberry-coco-ball	Germany		exclude_review	food
GCF_050876645.1	Bacillus cytotoxicus	Contig	current	4011565	102	SAMN46785635	Food; bulgur salad	Germany		exclude_review	food
GCF_050876665.1	Bacillus cytotoxicus	Contig	current	4113880	83	SAMN46785634	Food; potato dough for dumplings	Germany		exclude_review	food
GCF_050876685.1	Bacillus cytotoxicus	Contig	current	4139856	109	SAMN46785633	Food; potato puree	Germany		exclude_review	food
GCF_050876705.1	Bacillus cytotoxicus	Contig	current	4147736	102	SAMN46785632	Food; gnocchi	Germany		exclude_review	food
GCF_050876725.1	Bacillus cytotoxicus	Contig	current	4141267	90	SAMN46785631	Food; potato puree powder	Germany		exclude_review	food
GCF_050876745.1	Bacillus cytotoxicus	Contig	current	4171103	99	SAMN46785630	Food; pork cutlet (with attached potatoe puree)	Germany		exclude_review	food
GCF_050876765.1	Bacillus cytotoxicus	Contig	current	4151825	93	SAMN46785629	Food; potato puree	Germany		exclude_review	food
GCF_050876785.1	Bacillus cytotoxicus	Contig	current	4117380	104	SAMN46785628	Food; potato puree	Germany		exclude_review	food
GCF_050876805.1	Bacillus cytotoxicus	Contig	current	4156586	112	SAMN46785627	Food; hummus	Germany		exclude_review	food
GCF_050876825.1	Bacillus cytotoxicus	Contig	current	4021055	105	SAMN46785626	Food; cooked noodles	Germany		exclude_review	food
GCF_050876845.1	Bacillus cytotoxicus	Contig	current	4168593	94	SAMN46785625	Food; cooked noodles	Germany		exclude_review	food
GCF_050876865.1	Bacillus cytotoxicus	Contig	current	4240608	98	SAMN46785623	Food; potato puree	Germany		exclude_review	food
GCF_050876885.1	Bacillus cytotoxicus	Contig	current	4053573	79	SAMN46785624	Food; milk noodles	Germany		exclude_review	food;milk
GCF_050876905.1	Bacillus cytotoxicus	Contig	current	4026549	71	SAMN46785622	Food; potato soup	Germany		exclude_review	food
GCF_051966535.1	Bacillus halotolerans	Scaffold	current	4043520	40	SAMN48968250	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051967275.1	Bacillus halotolerans	Scaffold	current	4044385	35	SAMN48968231	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_052805595.1	Bacillus inaquosorum	Complete Genome	current	4230892	1	SAMN51355453	blood	USA: New York	Homo sapiens	exclude_review	blood
GCF_002173675.1	Bacillus licheniformis	Complete Genome	current	4824459	3	SAMN07125935	food	South Korea		exclude_review	food
GCF_002174255.1	Bacillus licheniformis	Complete Genome	current	4438492	3	SAMN07125934	food	South Korea		exclude_review	food
GCF_003253815.1	Bacillus licheniformis	Complete Genome	current	4208157	1	SAMN07206915	adult feces	South Korea: Bundang	Homo sapiens	exclude_review	feces
GCF_003339545.1	Bacillus licheniformis	Complete Genome	current	4405373	1	SAMN09579729	Doejnang, high-salt fermented food	South Korea: Suwon		exclude_review	food
GCF_003474315.1	Bacillus licheniformis	Scaffold	current	4566820	25	SAMN09734679	feces	China: Shenzhen	Homo sapiens	exclude_review	feces
GCF_003952865.1	Bacillus licheniformis	Complete Genome	current	4193958	1	SAMN08148560	Korean adult feces	South Korea: Seoul		exclude_review	feces
GCF_004078545.1	Bacillus licheniformis	Contig	current	4350200	4	SAMN10743309	food	South Korea		exclude_review	food
GCF_004101525.1	Bacillus licheniformis	Complete Genome	current	4471280	3	SAMN10743313	food	South Korea		exclude_review	food
GCF_004103575.1	Bacillus licheniformis	Complete Genome	current	4516868	2	SAMN10754250	food	South Korea		exclude_review	food
GCF_004119755.1	Bacillus licheniformis	Complete Genome	current	4419047	1	SAMN10790885	food	South Korea		exclude_review	food
GCF_004119795.1	Bacillus licheniformis	Complete Genome	current	4298206	1	SAMN10796173	food	South Korea		exclude_review	food
GCF_004526275.1	Bacillus licheniformis	Complete Genome	current	4230480	1	SAMN10970973	Raw milk	India: Mysore, Karnataka	sheep	exclude_review	milk
GCF_008368405.1	Bacillus licheniformis	Scaffold	current	4340335	28	SAMN10470871	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_008368415.1	Bacillus licheniformis	Scaffold	current	4161044	34	SAMN10470869	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_008368425.1	Bacillus licheniformis	Scaffold	current	4163391	34	SAMN10470868	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_008368435.1	Bacillus licheniformis	Scaffold	current	4337996	36	SAMN10470870	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_008368505.1	Bacillus licheniformis	Scaffold	current	4338651	30	SAMN10470872	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_008368515.1	Bacillus licheniformis	Scaffold	current	4162590	30	SAMN10470867	Gergoush (Sudanese Bread snack) primary fermentation step	Sudan		exclude_review	fermentation
GCF_010681835.1	Bacillus mobilis	Contig	current	5666084	97	SAMN13952135	wound	Netherlands	Homo sapiens	exclude_review	wound
GCF_025518565.1	Bacillus mobilis	Scaffold	current	5695026	130	SAMN27545677	Milk and dairy products	Italy		exclude_review	milk
GCF_025519065.1	Bacillus mobilis	Scaffold	current	5624663	144	SAMN27545620	Milk and dairy products	Italy		exclude_review	milk
GCF_025519575.1	Bacillus mobilis	Scaffold	current	5651997	93	SAMN27545649	Milk and dairy products	Italy		exclude_review	milk
GCF_025660715.1	Bacillus mobilis	Scaffold	current	5584852	92	SAMN27545618	Milk and dairy products	Italy		exclude_review	milk
GCF_028857215.1	Bacillus licheniformis	Contig	current	4451921	98	SAMN32288759	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857225.1	Bacillus licheniformis	Contig	current	4204342	59	SAMN32288760	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857235.1	Bacillus licheniformis	Contig	current	4293449	43	SAMN32288762	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857245.1	Bacillus licheniformis	Contig	current	4201136	44	SAMN32288761	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857255.1	Bacillus licheniformis	Contig	current	4623884	48	SAMN32288757	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857315.1	Bacillus licheniformis	Contig	current	4377533	82	SAMN32288753	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857325.1	Bacillus licheniformis	Contig	current	4266218	116	SAMN32288756	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857335.1	Bacillus licheniformis	Contig	current	4222732	66	SAMN32288755	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857345.1	Bacillus licheniformis	Contig	current	4468995	49	SAMN32288758	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857415.1	Bacillus licheniformis	Contig	current	4146623	48	SAMN32288751	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857435.1	Bacillus licheniformis	Contig	current	4177733	51	SAMN32288752	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857445.1	Bacillus licheniformis	Contig	current	4262610	41	SAMN32288749	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857455.1	Bacillus licheniformis	Contig	current	4122687	40	SAMN32288748	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857475.1	Bacillus licheniformis	Contig	current	4197465	126	SAMN32288750	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857515.1	Bacillus licheniformis	Contig	current	4342493	57	SAMN32288747	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857565.1	Bacillus licheniformis	Contig	current	4261254	49	SAMN32288743	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857615.1	Bacillus licheniformis	Contig	current	4621929	676	SAMN32288742	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857645.1	Bacillus licheniformis	Contig	current	4191660	70	SAMN32288741	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_028857665.1	Bacillus licheniformis	Contig	current	4212123	56	SAMN32288740	skim milk powder (medium heat)	Ireland		exclude_review	milk
GCF_035808115.1	Bacillus licheniformis	Contig	current	4254861	22	SAMN33940661	cheesecake, Deli	USA		exclude_review	cheese
GCF_035812515.1	Bacillus licheniformis	Contig	current	4442601	33	SAMN33940427	raw buffalo milk	not collected		exclude_review	milk
GCF_036208715.1	Bacillus licheniformis	Scaffold	current	4195693	64	SAMN32927441	heart blood of a mouse injected with culture of NRS 237 autoclaved on horse hair	not collected		exclude_review	blood
GCF_036211785.1	Bacillus licheniformis	Scaffold	current	4340638	33	SAMN32927285	raw buffalo milk	Egypt		exclude_review	milk
GCF_036221965.1	Bacillus licheniformis	Scaffold	current	4377454	232	SAMN33941079	tobacco fermentation	not collected		exclude_review	fermentation
GCF_036851335.1	Bacillus mobilis	Contig	current	5682063	5	SAMN18108458	blood culture	France: Angers	Homo sapiens	exclude_review	blood
GCF_036851595.1	Bacillus mobilis	Contig	current	5905637	10	SAMN18108440	blood culture	France: Poitiers	Homo sapiens	exclude_review	blood
GCF_036851615.1	Bacillus mobilis	Contig	current	5872959	8	SAMN18108439	blood culture	France: Poitiers	Homo sapiens	exclude_review	blood
GCF_036851655.1	Bacillus mobilis	Contig	current	5872779	8	SAMN18108438	blood culture	France: Poitiers	Homo sapiens	exclude_review	blood
GCF_036903495.1	Bacillus mobilis	Scaffold	current	5371682	22	SAMN32638667	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945865.1	Bacillus mobilis	Scaffold	current	5606631	84	SAMN32638674	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_039704565.1	Bacillus licheniformis	Contig	current	4396779	29	SAMN39861021	cow raw milk	Canada: Montreal	bovine	exclude_review	milk
GCF_039704625.1	Bacillus licheniformis	Contig	current	4382965	196	SAMN39861022	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704725.1	Bacillus licheniformis	Contig	current	4284751	29	SAMN39861020	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704745.1	Bacillus licheniformis	Contig	current	4285446	35	SAMN39861017	fresh cow milk	Canada: Montreal	bovine	exclude_review	milk
GCF_039704755.1	Bacillus licheniformis	Contig	current	4345927	32	SAMN39861019	raw milk cow	Canada: Montreal	bovine	exclude_review	milk
GCF_039704765.1	Bacillus licheniformis	Contig	current	4361801	31	SAMN39861018	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704785.1	Bacillus licheniformis	Contig	current	4423964	32	SAMN39861015	fresh milk of cow	Canada: Montreal	bovine	exclude_review	milk
GCF_039704805.1	Bacillus licheniformis	Contig	current	4425022	31	SAMN39861016	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704845.1	Bacillus licheniformis	Contig	current	4429233	40	SAMN39861013	raw cow milk	Canada: Montreal	bovine	exclude_review	milk
GCF_039704855.1	Bacillus licheniformis	Contig	current	4283372	29	SAMN39861014	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704865.1	Bacillus licheniformis	Contig	current	4273296	107	SAMN39861011	cow milk	Canada: Montreal	bovine	exclude_review	milk
GCF_039704875.1	Bacillus licheniformis	Contig	current	4410102	28	SAMN39861012	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704925.1	Bacillus licheniformis	Contig	current	4410271	31	SAMN39861010	milk	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704945.1	Bacillus licheniformis	Contig	current	4121131	27	SAMN39861009	raw milk	Canada: Montreal	bovine	exclude_review	milk
GCF_039704965.1	Bacillus licheniformis	Contig	current	4075098	27	SAMN39861008	raw milk of cow	Canada: Montreal, Sainte Anne de Bellevue, McGill Macdonald Campus	bovine	exclude_review	milk
GCF_039704985.1	Bacillus licheniformis	Contig	current	4075575	53	SAMN39861007	raw milk of cow	Canada: Montreal	bovine	exclude_review	milk
GCF_040500475.1	Bacillus maqinnsis	Complete Genome	current	3329571	3	SAMN42024221	feces	China:Qinghai	Bos grunniens	exclude_review	feces
GCF_041224965.1	Bacillus licheniformis	Scaffold	current	4171192	22	SAMN40593576	Feces of SPF mouse	China: Shanghai	Mus musculus	exclude_review	feces
GCF_046563835.1	Bacillus licheniformis	Contig	current	4369641	28	SAMN32990834	milk sample	India: Gujarat	Homo sapiens	exclude_review	milk
GCF_046563915.1	Bacillus licheniformis	Contig	current	4369641	28	SAMN32990833	milk sample	India: Gujarat	Homo sapiens	exclude_review	milk
GCF_049068155.1	Bacillus licheniformis	Contig	current	4287620	39	SAMN46531083	Processed cheese	Ireland: Cork		exclude_review	cheese
GCF_049068225.1	Bacillus licheniformis	Contig	current	4194458	59	SAMN46531082	Milk Powder	Ireland: Cork		exclude_review	milk
GCF_049068265.1	Bacillus licheniformis	Contig	current	4292733	29	SAMN46531084	Processed cheese	Ireland: Cork		exclude_review	cheese
GCF_051965725.1	Bacillus licheniformis	Scaffold	current	4290644	34	SAMN48968272	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051966055.1	Bacillus licheniformis	Scaffold	current	4139145	28	SAMN48968264	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_052077475.1	Bacillus licheniformis	Scaffold	current	4441192	145	SAMN50519452	Treated hospital wastewater discharge	Philippines: Laguna		exclude_review	hospital
GCF_052118025.1	Bacillus licheniformis	Contig	current	4207586	16	SAMN48950820	feces	United Kingdom:Wincherster	Sus scrofa domesticus	exclude_review	feces
GCF_052118545.1	Bacillus licheniformis	Contig	current	4272962	50	SAMN48950795	feces	United Kingdom:Wincherster	Sus scrofa domesticus	exclude_review	feces
GCF_054075345.1	Bacillus licheniformis	Chromosome	current	4574989	3	SAMN53258325	human skin infection	China: Lishui, Zhejiang	Homo sapiens	exclude_review	human
GCF_054634495.1	Bacillus licheniformis	Contig	current	4116895	25	SAMN54596221	Dairy milk	Canada: Sainte-Anne-de-Bellevue	Bos taurus	exclude_review	milk
GCF_055704665.1	Bacillus luti	Contig	current	5538721	138	SAMN56255771	human beard	China: Zhejiang	Homo sapiens	exclude_review	human
GCF_902168435.1	Bacillus marasmi	Scaffold	current	4638330	47	SAMEA5801185	human			exclude_review	human
GCF_902386215.1	Bacillus licheniformis	Complete Genome	current	4208157	1	SAMEA5851861	human gut	not provided		exclude_review	human
GCF_902386855.1	Bacillus massilinigeriensis	Scaffold	current	4216923	21	SAMEA5851908	human gut	not provided		exclude_review	human
GCF_910575305.1	Bacillus licheniformis	Contig	current	4226020	22	SAMEA8801436	Mouse faeces	United Kingdom	Mus musculus	exclude_review	faeces
GCF_000517985.1	Bacillus mycoides FSL H7-687	Contig	current	5673545	112	SAMN02597353	pasteurized milk	USA		exclude_review	milk
GCF_001044935.1	Bacillus mycoides	Scaffold	current	6096796	55	SAMN03325948	Raw milk	Germany	missing	exclude_review	milk
GCF_001619505.1	Bacillus mycoides	Scaffold	current	5732453	125	SAMN04046538	food	Netherlands		exclude_review	food
GCF_002014505.1	Bacillus mycoides	Contig	current	5763336	90	SAMN06242083	raw milk	USA		exclude_review	milk
GCF_002014535.1	Bacillus mycoides	Contig	current	6068254	186	SAMN06242084	raw milk	USA		exclude_review	milk
GCF_002014545.1	Bacillus mycoides	Contig	current	5641761	401	SAMN06242075	raw milk	USA		exclude_review	milk
GCF_002014655.1	Bacillus mycoides	Contig	current	5482614	113	SAMN05953539	raw milk	USA		exclude_review	milk
GCF_002014695.1	Bacillus mycoides	Contig	current	5400860	157	SAMN05953533	finished RTE dairy food product	USA		exclude_review	food
GCF_002014715.1	Bacillus mycoides	Contig	current	5956998	228	SAMN05660113	pasteurized 2% milk	USA		exclude_review	milk
GCF_002021835.1	Bacillus mycoides	Contig	current	5190710	118	SAMN06242078	pasteurized milk	USA		exclude_review	milk
GCF_002200005.1	Bacillus mycoides	Scaffold	current	5456363	54	SAMN07205612	food product	USA: MD	missing	exclude_review	food
GCF_002200025.1	Bacillus mycoides	Contig	current	5233832	80	SAMN07205616	food product	Netherlands	missing	exclude_review	food
GCF_002200135.1	Bacillus mycoides	Scaffold	current	5635141	68	SAMN07205606	food product	USA: MD	missing	exclude_review	food
GCF_012648005.1	Bacillus mojavensis	Complete Genome	current	4031121	1	SAMN14479759	mouse bloode sample	Ukraine:Kyiv		exclude_review	blood
GCF_015071215.1	Bacillus mycoides	Contig	current	5185875	103	SAMN12530038	Hand Milked Dairy Milk	Australia:Tasmania, Dairy Farm		exclude_review	milk
GCF_015845385.1	Bacillus mycoides	Scaffold	current	5618585	39	SAMN03654313	pasteurized milk	Germany		exclude_review	milk
GCF_015845395.1	Bacillus mycoides	Contig	current	6011619	74	SAMN03654314	pasteurized milk	Germany		exclude_review	milk
GCF_023969595.1	Bacillus pacificus	Contig	current	5448163	117	SAMN18918058	food	Thailand:Pathumthani		exclude_review	food
GCF_025517745.1	Bacillus pacificus	Scaffold	current	5142523	80	SAMN27545679	Milk and dairy products	Italy		exclude_review	milk
GCF_025518505.1	Bacillus pacificus	Scaffold	current	5186536	119	SAMN27545672	Milk and dairy products	Italy		exclude_review	milk
GCF_025519005.1	Bacillus mycoides	Contig	current	5310936	73	SAMN27545636	Milk and dairy products	Italy		exclude_review	milk
GCF_025519075.1	Bacillus pacificus	Scaffold	current	5020928	376	SAMN27545622	Milk and dairy products	Italy		exclude_review	milk
GCF_025519125.1	Bacillus pacificus	Scaffold	current	5268794	52	SAMN27545688	Milk and dairy products	Italy		exclude_review	milk
GCF_025519165.1	Bacillus pacificus	Contig	current	5238265	94	SAMN27545684	Milk and dairy products	Italy		exclude_review	milk
GCF_025519185.1	Bacillus pacificus	Contig	current	5395203	87	SAMN27545687	Milk and dairy products	Italy		exclude_review	milk
GCF_025519545.1	Bacillus pacificus	Scaffold	current	5653306	100	SAMN27545652	Milk and dairy products	Italy		exclude_review	milk
GCF_029537455.1	Bacillus pacificus	Contig	current	5186158	139	SAMN33794265	feces	Slovenia		exclude_review	feces
GCF_030756675.1	Bacillus multifaciens	Contig	current	4808568	93	SAMN36903788	the fermentation evironment for producing Wuliangye baijiu	China:Yibin		exclude_review	fermentation
GCF_036211605.1	Bacillus pacificus	Scaffold	current	5401287	267	SAMN32927293	food poisoning incident	not collected		exclude_review	food
GCF_036851475.1	Bacillus pacificus	Contig	current	5483157	3	SAMN18108447	blood culture	France: Toulouse	Homo sapiens	exclude_review	blood
GCF_036851715.1	Bacillus pacificus	Contig	current	5521770	5	SAMN18108435	blood culture	France: Marseille	Homo sapiens	exclude_review	blood
GCF_036851775.1	Bacillus pacificus	Contig	current	5568221	5	SAMN18108431	blood culture	France: Strasbourg	Homo sapiens	exclude_review	blood
GCF_046575505.1	Bacillus pacificus	Contig	current	5431860	61	SAMN37915812	food	Thailand: Pathumthani		exclude_review	food
GCF_046576205.1	Bacillus pacificus	Contig	current	5401240	70	SAMN37915810	food	Thailand: Pathumthani		exclude_review	food
GCF_046576345.1	Bacillus pacificus	Contig	current	5528812	100	SAMN37915805	food	Thailand: Pathumthani		exclude_review	food
GCF_046576465.1	Bacillus pacificus	Contig	current	5542779	145	SAMN37915798	food	Thailand: Pathumthani		exclude_review	food
GCF_046576525.1	Bacillus pacificus	Contig	current	5453845	55	SAMN37915795	food	Thailand: Pathumthani		exclude_review	food
GCF_050463985.1	Bacillus mycoides	Scaffold	current	5497900	106	SAMN41009186	milk	Germany		exclude_review	milk
GCF_050464045.1	Bacillus mycoides	Scaffold	current	5568166	61	SAMN41009185	milk	Germany		exclude_review	milk
GCF_050464085.1	Bacillus mycoides	Scaffold	current	5729889	91	SAMN41009184	milk	Germany		exclude_review	milk
GCF_050465905.1	Bacillus mobilis	Scaffold	current	5689236	69	SAMN41009137	milk-base for infant formula	Not Collected		exclude_review	milk
GCF_050563365.1	Bacillus mycoides	Contig	current	5924671	136	SAMN48388839	food: frozen berries	Switzerland		exclude_review	food
GCF_050563425.1	Bacillus nitratireducens	Contig	current	5637647	75	SAMN48388834	food: frozen berries	Switzerland		exclude_review	food
GCF_050629385.1	Bacillus mycoides	Contig	current	5767613	68	SAMN43795143	milk	Belgium: Louvain-La-Neuve		exclude_review	milk
GCF_050629745.1	Bacillus mycoides	Contig	current	5729799	68	SAMN43795125	milk	Belgium: Louvain-La-Neuve		exclude_review	milk
GCF_050630005.1	Bacillus mycoides	Contig	current	5850185	75	SAMN43795113	Fresh milk	Belgium: Louvain-La-Neuve		exclude_review	milk
GCF_051965155.1	Bacillus mycoides	Scaffold	current	6075200	138	SAMN48968290	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_056711765.1	Bacillus mobilis	Contig	current	5631458	101	SAMN53840590	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_056711845.1	Bacillus mobilis	Contig	current	5799821	109	SAMN53840587	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_056711865.1	Bacillus mobilis	Contig	current	5731256	94	SAMN53840585	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_056711925.1	Bacillus nitratireducens	Contig	current	5546661	67	SAMN53840581	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_056711965.1	Bacillus mobilis	Contig	current	5631602	111	SAMN53840578	food: icre cream/sorbet	Switzerland		exclude_review	food
